datapoint_id,ref,study,doi,np_class,np_composition,np_size_nm,base_oil_category,base_oil_specific,concentration_wt_pct,load_N,tribometer,test_conditions,baseline_cof,nano_cof,cof_reduction_pct,wear_metric,baseline_wear,nano_wear,wear_reduction_pct,wear_unit,cof_source,wear_source,quote,confidence,notes,source_type,np_class_note,np_size_nm_num,concentration_wt_pct_num,load_N_num,baseline_cof_num,nano_cof_num,cof_reduction_pct_num,baseline_wear_num,nano_wear_num,wear_reduction_pct_num,conc_basis,cls_metal,cls_metal_oxide,cls_carbon,cls_metal_sulfide,cls_hybrid,oil_mineral,oil_pao,oil_synth_ester,oil_veg_bio,oil_water,oil_mixed,has_cof,has_wear,size_imputed_flag,np_size_nm_imp
D011,[14],Zhang 2013 Vacuum,10.1016/j.vacuum.2012.07.009,Metal,Sn,45.0,PAO,MAC (multialkylated cyclopentane),1.0,300.0,vacuum four-ball,"vacuum 2e-4 Pa, 300 N, 1450 rpm, 25 C, 30 min",0.1,0.062,38.0,WSD,0.81,0.48,40.7,mm,Fig 3,Fig 6,the lowest friction coefficient of all tested oil samples was found for a content of 1% for the both kind of nanoparticles,Med,"Sn 30-60 nm; optimum (lowest COF & WSD for Sn); MAC=multialkylated cyclopentane space lubricant (coded PAO per spec); base MACs COF~0.100 & WSD~0.81 mm; Sn best friction-reduction, Fe better anti-wear except at 0.5%; values read from Fig 3 & Fig 6",folder-PDF,,45.0,1.0,300.0,0.1,0.062,38.0,0.81,0.48,40.7,wt%,1,0,0,0,0,0,1,0,0,0,0,1,1,0,45.0
D012,[14],Zhang 2013 Vacuum,10.1016/j.vacuum.2012.07.009,Metal,Fe,45.0,PAO,MAC (multialkylated cyclopentane),0.1,300.0,vacuum four-ball,"vacuum 2e-4 Pa, 300 N, 1450 rpm, 25 C, 30 min",0.1,0.09,10.0,WSD,0.81,0.51,37.0,mm,Fig 3,Fig 6,the lowest friction coefficient of all tested oil samples was found for a content of 1% for the both kind of nanoparticles,Med,"Fe 20-70 nm; MAC=multialkylated cyclopentane space lubricant (coded PAO per spec); base MACs COF~0.100 & WSD~0.81 mm; Sn best friction-reduction, Fe better anti-wear except at 0.5%; values read from Fig 3 & Fig 6",folder-PDF,,45.0,0.1,300.0,0.1,0.09,10.0,0.81,0.51,37.0,wt%,1,0,0,0,0,0,1,0,0,0,0,1,1,0,45.0
D013,[14],Zhang 2013 Vacuum,10.1016/j.vacuum.2012.07.009,Metal,Fe,45.0,PAO,MAC (multialkylated cyclopentane),0.5,300.0,vacuum four-ball,"vacuum 2e-4 Pa, 300 N, 1450 rpm, 25 C, 30 min",0.1,0.074,26.0,WSD,0.81,0.58,28.4,mm,Fig 3,Fig 6,the lowest friction coefficient of all tested oil samples was found for a content of 1% for the both kind of nanoparticles,Med,"Fe 20-70 nm; MAC=multialkylated cyclopentane space lubricant (coded PAO per spec); base MACs COF~0.100 & WSD~0.81 mm; Sn best friction-reduction, Fe better anti-wear except at 0.5%; values read from Fig 3 & Fig 6",folder-PDF,,45.0,0.5,300.0,0.1,0.074,26.0,0.81,0.58,28.4,wt%,1,0,0,0,0,0,1,0,0,0,0,1,1,0,45.0
D014,[14],Zhang 2013 Vacuum,10.1016/j.vacuum.2012.07.009,Metal,Fe,45.0,PAO,MAC (multialkylated cyclopentane),1.0,300.0,vacuum four-ball,"vacuum 2e-4 Pa, 300 N, 1450 rpm, 25 C, 30 min",0.1,0.068,32.0,WSD,0.81,0.39,51.9,mm,Fig 3,Fig 6,the lowest friction coefficient of all tested oil samples was found for a content of 1% for the both kind of nanoparticles,Med,"Fe 20-70 nm; optimum wear; MAC=multialkylated cyclopentane space lubricant (coded PAO per spec); base MACs COF~0.100 & WSD~0.81 mm; Sn best friction-reduction, Fe better anti-wear except at 0.5%; values read from Fig 3 & Fig 6",folder-PDF,,45.0,1.0,300.0,0.1,0.068,32.0,0.81,0.39,51.9,wt%,1,0,0,0,0,0,1,0,0,0,0,1,1,0,45.0
D015,[15],Guo 2015 RSC Adv,10.1039/c5ra19522e,Carbon,"diesel soot (loader exhaust, soot A)",35.0,PAO,PAO 4 (+1 wt% Span 80 dispersant),0.005,10.0,UMT-2 ball-on-plate reciprocating,"10 N, 5 mm/s, 8 mm stroke, 6000 s, 100 C; GCr15 ball / RTCr2 cast-iron plate",0.57,0.3,47.4,wear-rate,677.302,379.918,43.9,10^3 um3/(N.m),Fig 6,Fig 8 (embedded table),,Med,soot A primary 20-50 nm (aggregates 30-150 nm); COF read from Fig 6 bar; wear-rate exact from Fig 8 table (x10^3 um3/N.m); NB dispersant-only (0 wt% soot) COF~0.12 & wear 257.7 - much of COF drop is from Span 80,folder-PDF,,35.0,0.005,10.0,0.57,0.3,47.4,677.302,379.918,43.9,wt%,0,0,1,0,0,0,1,0,0,0,0,1,1,0,35.0
D016,[15],Guo 2015 RSC Adv,10.1039/c5ra19522e,Carbon,"diesel soot (loader exhaust, soot A)",35.0,PAO,PAO 4 (+1 wt% Span 80 dispersant),0.01,10.0,UMT-2 ball-on-plate reciprocating,"10 N, 5 mm/s, 8 mm stroke, 6000 s, 100 C; GCr15 ball / RTCr2 cast-iron plate",0.57,0.12,78.9,wear-rate,677.302,162.792,76.0,10^3 um3/(N.m),p.101968 text + Fig 6,Fig 8 (embedded table),"the COF of PAO 4 was 0.57, and the value decreased to 0.12 after adding 0.01 wt% ... maximum reduction of wear rate is 76% at the optimal concentration of 0.01 wt%",High,"OPTIMUM 0.01 wt%; abstract states 75.2% wear reduction, text/table give 76% (677.302->162.792); COF 0.57->0.12 explicit in text",folder-PDF,,35.0,0.01,10.0,0.57,0.12,78.9,677.302,162.792,76.0,wt%,0,0,1,0,0,0,1,0,0,0,0,1,1,0,35.0
D017,[15],Guo 2015 RSC Adv,10.1039/c5ra19522e,Carbon,"diesel soot (loader exhaust, soot A)",35.0,PAO,PAO 4 (+1 wt% Span 80 dispersant),0.05,10.0,UMT-2 ball-on-plate reciprocating,"10 N, 5 mm/s, 8 mm stroke, 6000 s, 100 C; GCr15 ball / RTCr2 cast-iron plate",0.57,0.115,79.8,wear-rate,677.302,252.738,62.7,10^3 um3/(N.m),Fig 6,Fig 8 (embedded table),,Med,soot A; SEM-highlighted concentration; COF from Fig 6 bar; wear-rate exact from Fig 8 table,folder-PDF,,35.0,0.05,10.0,0.57,0.115,79.8,677.302,252.738,62.7,wt%,0,0,1,0,0,0,1,0,0,0,0,1,1,0,35.0
D018,[17],Wu 2018 Tribol Int,10.1016/j.triboint.2017.08.011,Metal-Oxide,"TiO2 (P25, 75% anatase/25% rutile)",20.0,Water-Based,distilled water (+PEI +10 vol% glycerol),0.4,5.0,Rtec MFT-5000 ball-on-disk,"5 N, 50 mm/s, 14 mm track, 30 min, RT; E52100 ball / FSS 445 clean disk",0.29,0.26,10.3,WSD,815.0,705.0,13.5,um,Fig 3(b),Fig 5,,Med,"clean disk; baseline=water (Fig3b COF 0.29, Fig5 WSD 815 um); TiO2 ~20 nm; reductions vs water base fluid.",folder-PDF,,20.0,0.4,5.0,0.29,0.26,10.3,815.0,705.0,13.5,wt%,0,1,0,0,0,0,0,0,0,1,0,1,1,0,20.0
D019,[17],Wu 2018 Tribol Int,10.1016/j.triboint.2017.08.011,Metal-Oxide,"TiO2 (P25, 75% anatase/25% rutile)",20.0,Water-Based,distilled water (+PEI +10 vol% glycerol),1.0,5.0,Rtec MFT-5000 ball-on-disk,"5 N, 50 mm/s, 14 mm track, 30 min, RT; E52100 ball / FSS 445 clean disk",0.29,0.245,15.5,WSD,815.0,680.0,16.6,um,Fig 3(b),Fig 5,,Med,"clean disk; baseline=water (Fig3b COF 0.29, Fig5 WSD 815 um); TiO2 ~20 nm; reductions vs water base fluid.",folder-PDF,,20.0,1.0,5.0,0.29,0.245,15.5,815.0,680.0,16.6,wt%,0,1,0,0,0,0,0,0,0,1,0,1,1,0,20.0
D020,[17],Wu 2018 Tribol Int,10.1016/j.triboint.2017.08.011,Metal-Oxide,"TiO2 (P25, 75% anatase/25% rutile)",20.0,Water-Based,distilled water (+PEI +10 vol% glycerol),2.0,5.0,Rtec MFT-5000 ball-on-disk,"5 N, 50 mm/s, 14 mm track, 30 min, RT; E52100 ball / FSS 445 clean disk",0.29,0.245,15.5,WSD,815.0,675.0,17.2,um,Fig 3(b),Fig 5,,Med,"clean disk; baseline=water (Fig3b COF 0.29, Fig5 WSD 815 um); TiO2 ~20 nm; reductions vs water base fluid.",folder-PDF,,20.0,2.0,5.0,0.29,0.245,15.5,815.0,675.0,17.2,wt%,0,1,0,0,0,0,0,0,0,1,0,1,1,0,20.0
D021,[17],Wu 2018 Tribol Int,10.1016/j.triboint.2017.08.011,Metal-Oxide,"TiO2 (P25, 75% anatase/25% rutile)",20.0,Water-Based,distilled water (+PEI +10 vol% glycerol),4.0,5.0,Rtec MFT-5000 ball-on-disk,"5 N, 50 mm/s, 14 mm track, 30 min, RT; E52100 ball / FSS 445 clean disk",0.29,0.237,18.3,WSD,815.0,565.0,30.7,um,Fig 3(b),Fig 5,it reaches the lowest COF value of 0.237 when 4.0 wt% TiO2 is added,Med,"clean disk; baseline=water (Fig3b COF 0.29, Fig5 WSD 815 um); TiO2 ~20 nm; reductions vs water base fluid. OPTIMUM; COF 0.237 explicit in text; vs dry(0.54) reduction ~56%; on pre-oxidised disk 4.0wt% COF=0.151 (36.4% lower than clean disk)",folder-PDF,,20.0,4.0,5.0,0.29,0.237,18.3,815.0,565.0,30.7,wt%,0,1,0,0,0,0,0,0,0,1,0,1,1,0,20.0
D022,[17],Wu 2018 Tribol Int,10.1016/j.triboint.2017.08.011,Metal-Oxide,"TiO2 (P25, 75% anatase/25% rutile)",20.0,Water-Based,distilled water (+PEI +10 vol% glycerol),8.0,5.0,Rtec MFT-5000 ball-on-disk,"5 N, 50 mm/s, 14 mm track, 30 min, RT; E52100 ball / FSS 445 clean disk",0.29,0.25,13.8,WSD,815.0,695.0,14.7,um,Fig 3(b),Fig 5,,Med,"clean disk; baseline=water (Fig3b COF 0.29, Fig5 WSD 815 um); TiO2 ~20 nm; reductions vs water base fluid. above optimum; agglomeration raises wear",folder-PDF,,20.0,8.0,5.0,0.29,0.25,13.8,815.0,695.0,14.7,wt%,0,1,0,0,0,0,0,0,0,1,0,1,1,0,20.0
D023,[18],Zhang 2011 Tribol Int,10.1016/j.triboint.2011.03.002,Metal-Oxide,"serpentine (Mg6Si4O10(OH)8) hydrosilicate; 100% SPs, 0% Cu",500.0,Mineral,CD 15W/40 diesel engine oil,0.5,50.0,SRV-IV oscillating (reciprocating),"50 N (1.15 GPa), 10-30 Hz ramp, 1 mm amplitude, 30 min, RT; AISI52100 ball / AISI1045 disk",0.16,0.13,18.8,wear-volume,16.7,8.6,48.5,10^-4 mm3,Fig 6a,Fig 6b,,Med,"SR1: 0.5 wt% total additive in oil. serpentine hydrosilicate/phyllosilicate - flag (not simple oxide); SPs <0.5 um. COF read approx from 6 overlapping curves in Fig 6a (paper states COF decreases with Cu up to 7.5%, SR4 lowest); disk wear-volume from Fig 6b; ball WSD 0.31 mm (Fig 6c)",folder-PDF,,500.0,0.5,50.0,0.16,0.13,18.8,16.7,8.6,48.5,wt%,0,1,0,0,0,1,0,0,0,0,0,1,1,0,500.0
D024,[18],Zhang 2011 Tribol Int,10.1016/j.triboint.2011.03.002,Hybrid,serpentine + Cu NPs (97.5:2.5),50.0,Mineral,CD 15W/40 diesel engine oil,0.5,50.0,SRV-IV oscillating (reciprocating),"50 N (1.15 GPa), 10-30 Hz ramp, 1 mm amplitude, 30 min, RT; AISI52100 ball / AISI1045 disk",0.16,0.13,18.8,wear-volume,16.7,8.4,49.7,10^-4 mm3,Fig 6a,Fig 6b,,Med,"SR2: 0.5 wt% total additive in oil. Cu ~50 nm + serpentine <500 nm. COF read approx from 6 overlapping curves in Fig 6a (paper states COF decreases with Cu up to 7.5%, SR4 lowest); disk wear-volume from Fig 6b; ball WSD 0.29 mm (Fig 6c)",folder-PDF,,50.0,0.5,50.0,0.16,0.13,18.8,16.7,8.4,49.7,wt%,0,0,0,0,1,1,0,0,0,0,0,1,1,0,50.0
D025,[18],Zhang 2011 Tribol Int,10.1016/j.triboint.2011.03.002,Hybrid,serpentine + Cu NPs (95.0:5.0),50.0,Mineral,CD 15W/40 diesel engine oil,0.5,50.0,SRV-IV oscillating (reciprocating),"50 N (1.15 GPa), 10-30 Hz ramp, 1 mm amplitude, 30 min, RT; AISI52100 ball / AISI1045 disk",0.16,0.12,25.0,wear-volume,16.7,7.8,53.3,10^-4 mm3,Fig 6a,Fig 6b,,Med,"SR3: 0.5 wt% total additive in oil. Cu ~50 nm + serpentine. COF read approx from 6 overlapping curves in Fig 6a (paper states COF decreases with Cu up to 7.5%, SR4 lowest); disk wear-volume from Fig 6b; ball WSD 0.28 mm (Fig 6c)",folder-PDF,,50.0,0.5,50.0,0.16,0.12,25.0,16.7,7.8,53.3,wt%,0,0,0,0,1,1,0,0,0,0,0,1,1,0,50.0
D026,[18],Zhang 2011 Tribol Int,10.1016/j.triboint.2011.03.002,Hybrid,serpentine + Cu NPs (92.5:7.5),50.0,Mineral,CD 15W/40 diesel engine oil,0.5,50.0,SRV-IV oscillating (reciprocating),"50 N (1.15 GPa), 10-30 Hz ramp, 1 mm amplitude, 30 min, RT; AISI52100 ball / AISI1045 disk",0.16,0.105,34.4,wear-volume,16.7,5.8,65.3,10^-4 mm3,Fig 6a,Fig 6b,The most synergistic effect on friction and wear reducing properties of the SPs can be obtained when the content of Cu NPs is 7.5wt%,Med,"SR4: 0.5 wt% total additive in oil. OPTIMUM (7.5% Cu in additive); lowest COF & wear. COF read approx from 6 overlapping curves in Fig 6a (paper states COF decreases with Cu up to 7.5%, SR4 lowest); disk wear-volume from Fig 6b; ball WSD 0.255 mm (Fig 6c)",folder-PDF,,50.0,0.5,50.0,0.16,0.105,34.4,16.7,5.8,65.3,wt%,0,0,0,0,1,1,0,0,0,0,0,1,1,0,50.0
D027,[18],Zhang 2011 Tribol Int,10.1016/j.triboint.2011.03.002,Hybrid,serpentine + Cu NPs (90.0:10.0),50.0,Mineral,CD 15W/40 diesel engine oil,0.5,50.0,SRV-IV oscillating (reciprocating),"50 N (1.15 GPa), 10-30 Hz ramp, 1 mm amplitude, 30 min, RT; AISI52100 ball / AISI1045 disk",0.16,0.13,18.8,wear-volume,16.7,11.2,32.9,10^-4 mm3,Fig 6a,Fig 6b,,Med,"SR5: 0.5 wt% total additive in oil. >7.5% Cu worsens vs SR4 (worse than SPs alone for wear) but still beats base oil. COF read approx from 6 overlapping curves in Fig 6a (paper states COF decreases with Cu up to 7.5%, SR4 lowest); disk wear-volume from Fig 6b; ball WSD 0.305 mm (Fig 6c)",folder-PDF,,50.0,0.5,50.0,0.16,0.13,18.8,16.7,11.2,32.9,wt%,0,0,0,0,1,1,0,0,0,0,0,1,1,0,50.0
D028,[19],Padgurskas 2013 Tribol Int,10.1016/j.triboint.2012.10.024,Metal,Fe,65.0,Mineral,SAE 10 mineral oil,0.5,150.0,four-ball (friction torque),"150 N (1.05 GPa), 1420 rpm, 1 h, RT; 100Cr6 balls 12.7 mm; DIN 51350-3",,,39.0,WSD,,,23.0,,p.226-227 text,p.228 text,The Fe nanoparticles reduce the friction coefficient by 39%,High,Fe 50-80 nm; explicit % from text (friction-torque reduction = COF; WSD reduction); 0.5 g/100mL total metal (Table1; text also says 0.25 wt% - basis ambiguous); absolute COF/WSD not tabulated,folder-PDF,,65.0,0.5,150.0,,,39.0,,,23.0,g/100mL,1,0,0,0,0,1,0,0,0,0,0,1,1,0,65.0
D029,[19],Padgurskas 2013 Tribol Int,10.1016/j.triboint.2012.10.024,Metal,Cu,65.0,Mineral,SAE 10 mineral oil,0.5,150.0,four-ball (friction torque),"150 N (1.05 GPa), 1420 rpm, 1 h, RT; 100Cr6 balls 12.7 mm; DIN 51350-3",,,49.0,WSD,,,47.0,,p.226-227 text,p.228 text,the copper nanoparticles produce as much as a 49% reduction ... reducing the wear by 47%,High,Cu = most effective single metal; explicit % from text (friction-torque reduction = COF; WSD reduction); 0.5 g/100mL total metal (Table1; text also says 0.25 wt% - basis ambiguous); absolute COF/WSD not tabulated,folder-PDF,,65.0,0.5,150.0,,,49.0,,,47.0,g/100mL,1,0,0,0,0,1,0,0,0,0,0,1,1,0,65.0
D030,[19],Padgurskas 2013 Tribol Int,10.1016/j.triboint.2012.10.024,Metal,Co,65.0,Mineral,SAE 10 mineral oil,0.5,150.0,four-ball (friction torque),"150 N (1.05 GPa), 1420 rpm, 1 h, RT; 100Cr6 balls 12.7 mm; DIN 51350-3",,,20.0,WSD,,,11.0,,p.226-227 text,p.228 text,the cobalt nanoparticles reduce the friction torque (up to 20%) ... reduce the wear by 23% and 11%,High,Co least effective; friction 'up to 20%' with increasing trend; explicit % from text (friction-torque reduction = COF; WSD reduction); 0.5 g/100mL total metal (Table1; text also says 0.25 wt% - basis ambiguous); absolute COF/WSD not tabulated,folder-PDF,,65.0,0.5,150.0,,,20.0,,,11.0,g/100mL,1,0,0,0,0,1,0,0,0,0,0,1,1,0,65.0
D031,[19],Padgurskas 2013 Tribol Int,10.1016/j.triboint.2012.10.024,Hybrid,Fe+Cu mixture (0.25+0.25),65.0,Mineral,SAE 10 mineral oil,0.5,150.0,four-ball (friction torque),"150 N (1.05 GPa), 1420 rpm, 1 h, RT; 100Cr6 balls 12.7 mm; DIN 51350-3",,,53.0,WSD,,,50.0,,p.226-227 text,p.228 text,the participation of Cu in the mixture reduces the friction ... (53%) ... decreases the wear by nearly a factor of two (50%),High,Fe+Cu mechanical mixture; Fe-core/Cu-shell (FeCu) variant gave 55% friction & ~20% wear reduction; explicit % from text (friction-torque reduction = COF; WSD reduction); 0.5 g/100mL total metal (Table1; text also says 0.25 wt% - basis ambiguous); absolute COF/WSD not tabulated,folder-PDF,,65.0,0.5,150.0,,,53.0,,,50.0,g/100mL,0,0,0,0,1,1,0,0,0,0,0,1,1,0,65.0
D032,[19],Padgurskas 2013 Tribol Int,10.1016/j.triboint.2012.10.024,Hybrid,Fe+Co mixture (0.25+0.25),65.0,Mineral,SAE 10 mineral oil,0.5,150.0,four-ball (friction torque),"150 N (1.05 GPa), 1420 rpm, 1 h, RT; 100Cr6 balls 12.7 mm; DIN 51350-3",,,36.0,WSD,,,32.0,,p.226-227 text,p.228 text,The mixture of Fe and Co nanoparticles clearly decreases the friction torque (up to 36%) ... 32% lower wear,High,Fe+Co mixture; friction 'up to 36%'; Fe-core/Co-shell (FeCo) variant gave 50% friction & ~20% wear reduction; explicit % from text (friction-torque reduction = COF; WSD reduction); 0.5 g/100mL total metal (Table1; text also says 0.25 wt% - basis ambiguous); absolute COF/WSD not tabulated,folder-PDF,,65.0,0.5,150.0,,,36.0,,,32.0,g/100mL,0,0,0,0,1,1,0,0,0,0,0,1,1,0,65.0
